unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
MENA,SYR,SyrianArabRepublic,MCV2,64,49,64,64,65,65,70,63,58,60,62,64,76,82,82,81,81,81,81,82,83,84,83,80
ECAR,TJK,Tajikistan,MCV2,96,97,96,97,97,97,98,97,94,98,97,97,96,95,93,87,90,96,92,98,94,93,72,59
EAPR,THA,Thailand,MCV2,87,87,87,87,87,87,95,95,95,94,94,91,91,91,91,91,94,94,95,95,92,89,86,99
EAPR,TLS,Timor-Leste,MCV2,72,72,72,72,74,74,74,30,,,,,,,,,,,,,,,,
WCAR,TGO,Togo,MCV2,58,57,50,46,53,,,,,,,,,,,,,,,,,,,
EAPR,TON,Tonga,MCV2,99,99,99,99,99,99,99,99,99,92,99,95,99,98,98,98,99,99,98,99,96,,,
LACR,TTO,TrinidadandTobago,MCV2,91,92,88,90,92,92,90,65,79,93,86,85,83,82,80,81,87,78,84,78,73,77,80,
MENA,TUN,Tunisia,MCV2,97,98,98,96,97,99,97,97,98,95,98,96,96,98,97,99,98,98,99,99,99,98,99,98
ECAR,TUR,Turkiye,MCV2,94,94,93,93,88,87,86,85,86,88,98,85,86,91,88,92,94,84,98,97,97,83,91,
ECAR,TKM,Turkmenistan,MCV2,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,98,90,89,87,94,92
EAPR,TUV,Tuvalu,MCV2,98,89,84,85,92,81,94,92,86,91,84,93,90,87,84,82,74,83,86,90,93,97,99,
ESAR,UGA,Uganda,MCV2,21,49,,,,,,,,,,,,,,,,,,,,,,
ECAR,UKR,Ukraine,MCV2,87,69,86,82,92,90,84,31,57,57,54,54,56,41,68,95,96,98,96,97,99,98,98,99
MENA,ARE,UnitedArabEmirates,MCV2,94,91,96,92,94,95,97,98,99,99,98,96,95,94,93,92,93,93,94,92,92,92,92,92
Non-programme,GBR,UnitedKingdom,MCV2,85,87,87,87,87,88,88,89,89,89,88,87,85,84,79,75,74,75,75,76,77,74,74,76
ESAR,TZA,UnitedRepublicofTanzania,MCV2,78,73,60,64,70,68,67,63,53,29,,,,,,,,,,,,,,
Non-programme,USA,UnitedStates,MCV2,95,95,95,95,95,94,94,94,93,92,91,91,90,89,88,87,86,86,86,86,86,86,86,85
LACR,URY,Uruguay,MCV2,90,92,82,91,99,91,92,92,93,93,92,,,,,,,,,,,,,
ECAR,UZB,Uzbekistan,MCV2,99,99,99,99,99,99,99,99,99,99,99,99,99,54,8,26,44,63,81,99,98,97,98,98
EAPR,VUT,Vanuatu,MCV2,21,,,,,,,,,,,,,,,,,,,,,,,
LACR,VEN,Venezuela(BolivarianRepublicof),MCV2,40,30,37,28,13,39,59,53,52,50,38,33,26,31,6,,,,,,,,,
EAPR,VNM,VietNam,MCV2,86,81,85,93,92,90,93,95,92,94,86,83,93,98,96,97,18,,,,,,,
MENA,YEM,Yemen,MCV2,45,45,41,36,38,39,40,44,37,42,46,40,46,43,38,35,32,26,21,,,,,
ESAR,ZMB,Zambia,MCV2,75,72,69,66,66,65,64,58,47,33,,,,,,,,,,,,,,
ESAR,ZWE,Zimbabwe,MCV2,77,77,76,74,75,78,78,63,,,,,,,,,,,,,,,,
